video_id,comment
il2QoQXkU_4,"If anyone isn't targetting for a flagship phone/high-end phone but a nice-enough phone, this one is actually a great choice as you can get 4 years of upgrading Androids. It's great to see Samsung is extending the lifespan of their budget phones."
il2QoQXkU_4,That bezel is huge😮
il2QoQXkU_4,Woah it look better. In light blue and white wish they had stock in these color
il2QoQXkU_4,"Thats why samsung is selling a lot, they have a nice selection to choose from."
il2QoQXkU_4,I am watching this video using my lovely Samsung A15. A15 is such a great phone with everything that you need from a smart android phone. I am so happy to have A15 as my main phone
il2QoQXkU_4,Am using it very nice phone. I bought mine 280k ❤❤
il2QoQXkU_4,I bought this phone in February and can u show me what has problems with it?
il2QoQXkU_4,Full review...Pls?😢
il2QoQXkU_4,Please be telling us model name please 🙏🙏🙏
il2QoQXkU_4,You can see that lag when he leaves settings 💀💀
il2QoQXkU_4,There is a color purple?
il2QoQXkU_4,A 15 5g is awesome . I m obessed with it.❤❤❤❤
il2QoQXkU_4,May God have mercy upon us. 😭
il2QoQXkU_4,Budget phones can compete with flagships from only a few years ago nowadays
il2QoQXkU_4,Commenting with my Samsung galaxy A15❤
il2QoQXkU_4,If I got this phone should I get 4gb or 8gb ram which is better and tell me why
il2QoQXkU_4,"I have a Samsung A15 4/128, it works great, nothing lags, everything is fine in games too, but I don't like the camera, it adds brightness and looks unnatural"
il2QoQXkU_4,it's 6.5 inch display but rounded corners like a 5.9 inch and 6 inches
il2QoQXkU_4,"La verdad es un buen celular yo temgo uno es el que utilizo es muy bueno y tiene una carga superrapida, No es un carga rapida"
il2QoQXkU_4,Watching this video on A15😊
il2QoQXkU_4,"Battery life isn't solid enogh for me , I recommend the M15 that has the same specs but with battery ."
il2QoQXkU_4,It's 2024 and the are still using such notch on it ? I so much i hate it ehh
il2QoQXkU_4,Why did they place that notch screen?
il2QoQXkU_4,"N189000😮😮, here in SA it's R4000"
il2QoQXkU_4,How much is the 6gb ram?
il2QoQXkU_4,That lag💀
il2QoQXkU_4,How much price naw?
il2QoQXkU_4,24 month warranty?
il2QoQXkU_4,this is good phone i am algirien
il2QoQXkU_4,"I bought mine last week, #315,000 ( 8GB/256)"
il2QoQXkU_4,Get the CMF phone 1 with dimensity processor best phone for that price
il2QoQXkU_4,Price?
il2QoQXkU_4,What’s the colour of the phone? Is it white or light blue?
il2QoQXkU_4,I’m getting that phone today
il2QoQXkU_4,No charger plug?
il2QoQXkU_4,How much in Saudi Arabia
il2QoQXkU_4,Its super amoled display isnt ?
il2QoQXkU_4,Is this phone is 5 g...
il2QoQXkU_4,Colour konsa hh❤
il2QoQXkU_4,My is A15 it's new Samsung
il2QoQXkU_4,My mobile a15 Samsung ❤❤🎉❤🎉❤🎉❤
il2QoQXkU_4,It doesnt have a charger?
il2QoQXkU_4,I'm watching this with this phone😂😂😂
il2QoQXkU_4,My phone 🎉🎉🎉🎉🎉
il2QoQXkU_4,Its support nfc features
il2QoQXkU_4,Is this recording 4k video ?
il2QoQXkU_4,Just get the Tecno spark 20 pro pulse 😅 it has 120 hrz curved amoled display 8 gb ram that can be expended to 16 gb and helio g99 UMTIMATE
il2QoQXkU_4,Made by vietnam❤ 🇻🇳 ❤
il2QoQXkU_4,I wish they keeped the infinity v design
il2QoQXkU_4,Whai is the made or manufactured  country?
il2QoQXkU_4,I have a stitch case for mine
il2QoQXkU_4,"The biggest steal on that phone is the amoled display, 5g and 25 watt super charging 😂"
il2QoQXkU_4,This phone was supposed to me mine my brother decided to bought me this but dad buyed me another phone lol🥲.. Anyway its fine.. Gods decision❤
il2QoQXkU_4,"Warning! AVOID SAMSUNG. I bought a Galaxy 24 Ultra 512 GB. The phone was constantly warm, the battery life was worse than on my S23+ and the fast charging didn´t work. Very bad quality. Contacted their technical support but they we unable to help me becaure the diagnostics system didn´t work for a whole week. They told me to take the phone to a repair shop. Unbelieveble! They want to repair a couple of weeks old premium phone ?!?! My feeling is that they do not care about their customers. Feels that you´re paying for a Ferrari buy they deliver a Lada. I do NOT recomment this device, it will disappoint you. I will not buy another Samsung product. Really bad service and while the technical support can´t help it is impossible to speak to somebody responsible."
il2QoQXkU_4,Great ❤❤❤
il2QoQXkU_4,Premium look
il2QoQXkU_4,Wow omg
il2QoQXkU_4,I'm watching this in a15
il2QoQXkU_4,Which colour is nicer 🔵🟡⚫
il2QoQXkU_4,Watching this video on A15 ❤
il2QoQXkU_4,Watching in samsung a15 😂❤
il2QoQXkU_4,thats my new phon in my birthday 😅😅
il2QoQXkU_4,Phone lags like it came out in 1995 😭
il2QoQXkU_4,I'm watching video on this phone
il2QoQXkU_4,Letting yall know you can't watch 4k video!!!! Get A54!
il2QoQXkU_4,A15❤
il2QoQXkU_4,i love it
il2QoQXkU_4,I am getting a Samsung A15 in black
il2QoQXkU_4,"Kok bisa di luar negri ada ang warn putih, di indonesia gak ada😢"
il2QoQXkU_4,I'm using the same phone
il2QoQXkU_4,I bought today 319k 8g ram
il2QoQXkU_4,I want to bey some of the fone I want a15
il2QoQXkU_4,How to screenshot
il2QoQXkU_4,I just got mine yesterday
il2QoQXkU_4,Guys is it a good phone? is there any lag in it?
il2QoQXkU_4,what the price?
il2QoQXkU_4,Game test robkos it is wasnt laging
il2QoQXkU_4,"Are all the 15 numeral Samsung phones the same or is it a regional thing. I was interested in the F15 for a budget workshop, but it's for the India region."
il2QoQXkU_4,Like and Zomkae Samsung 15 🤗
il2QoQXkU_4,Apakah di indo ada warna putih
il2QoQXkU_4,that lag I just saw when you just tried to go back is insane.
il2QoQXkU_4,Samsung galaxy a15 mai screenshot kese lete h
il2QoQXkU_4,I get that you're getting 90 htz but damn even Apple have better looking budget phones 😂
il2QoQXkU_4,I am a Samsung fan but honestly A series can be frustrating in terms of heavy tasks tho it can be long in battery and durability and better in display but i will buy the Itel Rs4 instead at this price
il2QoQXkU_4,Can we play e-football in this mobile
il2QoQXkU_4,Mere pass h ye 🎉
il2QoQXkU_4,hi😅😅😅
il2QoQXkU_4,India me 1 sal hi warranty hai
il2QoQXkU_4,Price a15
il2QoQXkU_4,Nice 1
il2QoQXkU_4,Bu yaxınnarda alıcam braat
il2QoQXkU_4,❤❤❤❤❤❤❤❤❤
il2QoQXkU_4,BOZO I HAVE THE SAME BUT ITS BLUE BUT  MY MUM SHOULD'VE BOUGHTON TECHNO 😅
il2QoQXkU_4,"Helio G99 ???.... WTF ???..... In India this phone comes with  *""Mediatek Dimensity 6100+ ""*"
il2QoQXkU_4,diindo gaada yang putih😢
il2QoQXkU_4,Nice phone
il2QoQXkU_4,Galaxy❤
il2QoQXkU_4,الثمن من فضلك
il2QoQXkU_4,First time I’m hearing him talk lol😅
il2QoQXkU_4,Samsung a15 or xiaomi note 13?
