video_id,comment
ExGfwp5vL8g,*What kind of smartphone do you have ???*
ExGfwp5vL8g,A15 is a fast booter. Loses in first half won it in the last minute.
ExGfwp5vL8g,Samsung top
ExGfwp5vL8g,"I'm currently using the Samsung A25, the phone on the right. It's really great."
ExGfwp5vL8g,I'm Samsung a15 ❤
ExGfwp5vL8g,I always struggle picking out a new phone
ExGfwp5vL8g,Samsung A15 ❤
ExGfwp5vL8g,A15❤
ExGfwp5vL8g,Samsung ❤a 25
ExGfwp5vL8g,Redmi ❤
ExGfwp5vL8g,As someone who just bought an a15 it's really nice
ExGfwp5vL8g,I just got the A15 a couple months ago and so far im loving it
ExGfwp5vL8g,Sheesh!! this my 3 days old A15😅 and so far its good
ExGfwp5vL8g,Samsung galaxy a15 is the best I'm using this already ❤❤❤
ExGfwp5vL8g,"watching on A25, did not regret getting it."
ExGfwp5vL8g,"I have un A15,is good🥰🤗"
ExGfwp5vL8g,I just want to buy the Samsung A55 5G 😢
ExGfwp5vL8g,I need your help which one is better galaxy Z flip 6 or galaxy S25 Ultra
ExGfwp5vL8g,Tomorrow September of third i will buy new Galaxy A 15 ❤❤😊
ExGfwp5vL8g,Samsung Galaxy A15 5g is available in today's date? 😢 please reply. I want to purchase
ExGfwp5vL8g,Is the color of the A15 screen as colorful as the video in real life? Please answer me
ExGfwp5vL8g,"Which one is fast❌
Which one is the correct time✅"
ExGfwp5vL8g,Самсунг a 15 winner
ExGfwp5vL8g,Please help choose between A15 and Iphonr Xr
ExGfwp5vL8g,"سلام آقا برای ادیت ویدیو poco f 4بگیرم یا a25 ؟
قدیمی بودنش مهم نیست"
ExGfwp5vL8g,I want to buy my son this his birthday 🎂 9 years  😊
ExGfwp5vL8g,"Guys, what good smartphone do I want to buy in 2024?"
ExGfwp5vL8g,Helal olsun benim telefon kazandı ben kullanıyorum a15 güzel iPhone 11 parasına alınacak telefon hemde andord ❤
ExGfwp5vL8g,M35 or a15 plz reply a little bit confused.
ExGfwp5vL8g,A25 better
ExGfwp5vL8g,"A25 at online stores is 2x the price , but on board specs wise not 2x"
ExGfwp5vL8g,"A15 is the better phone considering the price. A25 is more expensive, but basically the same as A15."
ExGfwp5vL8g,Watching in a15❤❤❤❤
ExGfwp5vL8g,A15 muito melhor que o A25 (minha opinião) eu tenho o A15 minha amiga tem o A25 trava muito! E o A15 não trava nem no roblox!! Compre super recomendo o A15 4g
ExGfwp5vL8g,"I have a Samsung A25❤
Pupg 120 fps"
ExGfwp5vL8g,Samsung a25 5g ❤
ExGfwp5vL8g,"I want the name of the background sound, PLEAAAAASSSEE."
ExGfwp5vL8g,Samsumg galaxy A25 5G
ExGfwp5vL8g,Why the a25 has always on display but my A16 dosent
ExGfwp5vL8g,Je vais acheter le a 15❤
ExGfwp5vL8g,I'm curious.If u will buy phone case from a25 for A15 it will fit???🙄because the size of the phone seems r same and cameras holes also...
ExGfwp5vL8g,This phome looks pretty  similar to my phm
ExGfwp5vL8g,Why does it say a different time on yours
ExGfwp5vL8g,"Then I turned on the A25 phone, what happened in the beginning??"
ExGfwp5vL8g,the a15 just has less bloat
ExGfwp5vL8g,Is a15 good phone will u recomend it for me? Is it laging?
ExGfwp5vL8g,Isn't the a25 supposed be the better version of the a15.
ExGfwp5vL8g,I want my A25! 😭🙏
ExGfwp5vL8g,"Comsiderimh what to buy A35, A25, A34, or this A15 pls hlp😢"
ExGfwp5vL8g,Seeing in my a15 😊
ExGfwp5vL8g,esse A15 azul é igual o meu 😁
ExGfwp5vL8g,You are best❤😊
ExGfwp5vL8g,mainy  bhi   ye lia.... kya  is  me  charger   sath  mila  ......mujhe  alg  sy  lena parha  tha😢
ExGfwp5vL8g,Samsung galaxy a15 5g is so power phone❤
ExGfwp5vL8g,Ok bitta iltimosim bor pubg uchun choʻntakning arzonroq lekin pfs yahshiroq telefon bormi oka iltimos boʻsa ayt voring
